Fishbazarbd,https://www.youtube.com/channel/UCVQB9W6JL_TlM6PTJ3Y_kww/about,9 Sept 2018,"1,541,559",22.5K
fish farm bd,https://www.youtube.com/channel/UCxk0HeP41TpiLX8oNtoAXqg/about,20 Feb 2019,"284,492",5.91K
FISH CARE Bengali,https://www.youtube.com/channel/UC7wQBiPUYYiVYEF3DP89qkQ/about,22 Dec 2018,"725,121",
digital Bharat,https://www.youtube.com/channel/UCoAvfC2pNrYmPx8AsasCX4A/about,9 Sept 2018,"11,925,329",167K
not available,https://www.youtube.com/channel/UCoAvfC2pNrYmPx8AsasCX4A/about,not available,not available
